Fish Sanctuary OGF ID,Zone Number,Waterbody Description,Waterbody Description French,Fish Sanctuary,Fish Sanctuary French,Effective Date,Expiry Date
107035656,7,Nagagamisis Lake and River - Elgie Twp.,Lac et rivière Nagagamisis - canton d‘Elgie,Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035657,7,"Northeast Campcot Lake (49°02’N., 86°37’W.).",Lac Northeast Campcot (49° 02‘ N. et 86° 37‘ O.),Fish sanctuary - closed all year,Réserve de poissons - pêche fermée toute l’année,01/01/2022,12/31/2022
107035658,7,Oba Lake and Oba River (White Berry Creek) - from 200 m (656 ft.) out from river mouth to intersection of Oba River with Road #6.,Lac et rivière Oba (ruisseau White Berry) - depuis 200 m (656 pi) de l‘embouchure de la rivière jusqu‘à l‘intersection de la rivière Oba et de la route 6.,Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035659,7,"Oba Lake and Tatnall River - Carney and Martin Twps., from 200 m (656 ft.) out from river mouth to 3.5 km (2.2 mi.) up river.","Lac Oba et rivière Tatnall - cantons de Carney et Martin, depuis 200 m (656 pi) de l‘embouchure de la rivière jusqu‘à 3,5 km (2,2 mi) en remontant la rivière.",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035660,7,"Oba Lake at Hoodoo Bay and Hoodoo Creek - Carney and Simpson Twps., from Algoma Central Railway trestle crossing the Bay to first falls on the Creek.","Lac Oba à la baie et au ruisseau Hoodoo - cantons de Carney et Simpson, depuis le chevalet de l‘Algoma Central Railway traversant la baie jusqu‘aux premières chutes du ruisseau.",Fish sanctuary - closed all year,Réserve de poissons - pêche fermée toute l’année,01/01/2022,12/31/2022
107035632,7,Oba River - Ermine Twp. - downstream from the north boundary of the township to Kabinakagami Lake.,Rivière Oba - canton d‘Ermine - en aval depuis la limite nord du canton jusqu‘au lac Kabinakagami.,Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035661,7,"Obakamiga Lake - Foch and Lessard Twps., from power line at Rocky Narrows to outlet of lake at Canyon Portage.","Lac Obakamiga - cantons de Foch et Lessard, depuis la ligne de transport d‘énergie au passage Rocky jusqu‘au déversoir du lac au portage Canyon.",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035662,7,Obakamiga Lake at Obakamiga River - between Granitehill Lake and Obakamiga Lake (Three Mile Narrows) - Cholette Twp.,Lac et rivière Obakamiga - entre les lacs Granitehill et Obakamiga (passage Three Mile) - canton de Cholette.,Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035655,7,"Obakamiga River - Nagagami Twp., from Nagagami Lake upstream to the uppermost part of the Sagi Rapids.","Rivière Obakamiga - canton de Nagagami, du lac Nagagami en amont jusqu‘à la partie la plus élevée des rapides Sagi.",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035663,7,"Picnic Lake and Tukanee Creek - the bay at the southeast corner, south of a line from the east shore 200 m (656 ft.) northeast of the Hwy. 631 culverts northwest to the point on the south shore 200 m (656 ft.) north of the culverts, including Little Picni","Lac Picnic et ruisseau Tukanee - la baie à l‘angle sud-est, au sud d‘une ligne depuis la rive est, 200 m (656 pi) au nord-est des ponceaux de la route 631, nord-ouest jusqu‘au point sur la rive sud, 200 m (656 pi) au nord des ponceaux, et incluant le lac ",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035664,7,"Pipe Lake (47°58’N., 85°43’W.).",Lac Pipe (47° 58’ N. et 85° 43’ O.),Fish sanctuary - closed all year,Réserve de poissons - pêche fermée toute l’année,01/01/2022,12/31/2022
107035665,7,"Racine Lake - Darcy Twp., from where the northern boundary of Lots 8 and 9, Conc. V crosses Racine Lake southward to the first rapids in Lot 10, Conc. III.","Lac Racine - canton de Darcy, depuis l‘endroit où la limite nord des lots 8 et 9, conc. V, traverse le lac Racine vers le sud, en direction des premiers rapides situés dans le lots 10, conc. III.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035666,7,"Ruthie Lake (48°42’N., 85°14’W.) and tributaries - Common Twp. - the south bay south of a line from a point on the east shore 320 m (1049 ft.) north of the south end of the lake to the island, and from the island to the west shore 450 m (1476 ft.) northwe","Lac Ruthie (48° 42‘ N. et 85° 14‘ O.) et ses tributaires - canton de Common - la baie sud, au sud d‘une ligne depuis un point sur la rive est, 320 m (1 049 pi) au nord de l‘extrémité sud du lac jusqu‘à l‘île, et depuis l‘île jusqu‘à la rive ouest, 450 m (",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035516,7,"Shamokan Creek – from the centre line of Rail Line Road downstream to the mouth of Shamokan Creek at 50°09’N., 86°37’W., where it flows into Upper Twin Lake.","Ruisseau Shamokan – depuis la ligne médiane de la voie ferrée en aval jusqu’à l’embouchure du ruisseau Shamokan à 50° 09’ N. et 86° 37’ O., où il se déverse dans le lac Upper Twin.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035667,7,"Shikwamkwa Lake and the Jackpine River - Keesickquayash Twp., between a point where the Little Jackpine River enters the Jackpine River downstream to a point where Shikwamkwa Lake intersects latitude 48°03’30”N.","Lac Shikwamkwa et la rivière Jackpine - canton de Keesickquayash, entre l‘endroit où la petite rivière Jackpine se jette dans la rivière Jackpine, en aval jusqu‘à l‘endroit où le lac Shikwamkwa croise la latitude 48° 03’ 30” N.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035668,7,"Shikwamkwa Lake, Windermere River, and Goldie River lying east of a line from a point on the west shore of Shikwamkwa Lake at 48°07’38”N., 84°03’47”W., and a point on the east shore at 48°07’36”N., 84°03’40”W., upstream to a point on the Windermere River ","Lac Shikwamkwa, rivière Windermere et la rivière Goldie à l‘est d‘une ligne à partir d‘un point sur la rive ouest du lac Shikwamkwa, à 48° 07’ 38” N. et 84° 03’ 47” O., et un point sur la rive est à 48° 07’ 36” N. et 84° 03’ 40” O., en amont jusqu‘à un po",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035669,7,"Southeast Campcot Lake (49°02 17”N., 86°37 29”W.) in the Territorial District of Thunder Bay.",Lac Campcot Sud-Est (49° 02‘ 17”N. et 86° 37‘ 29” O.) dans le district territorial de Thunder Bay.,Fish sanctuary - closed all year,Réserve de poissons - pêche fermée toute l’année,01/01/2022,12/31/2022
107035670,7,"Three Finger Lake (48°43’33”N., 86°19’03”W.) - Pic Twp.",Lac Three Finger (48° 43’ 33” N. et 86°19’ 03” O.) - canton de Pic,Fish sanctuary - no fishing from Jan. 1 - June 30 & Sept. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le 30 juin, ni du 1er sept. au 31 déc.",01/01/2022,12/31/2022
107035650,7,"Trout Creek and its tributaries (47°56’N., 84°47’W.) - from the Michipicoten River to 2 km (1.2 mi.) upstream of the Hydro transmission line in the Townships of Rabazo, Lendrum and McMurray.","Ruisseau Trout et ses tributaires (47° 56‘ N. et 84° 47‘ O.) - depuis la rivière Michipicoten jusqu‘à 2 km (1,2 mi) en amont de la ligne de transport d‘énergie dans les cantons de Rabazo, Lendrum et McMurray.",Fish sanctuary - no fishing from Apr. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 avril et le 15 juin.,01/01/2022,12/31/2022
107035671,7,"Unnamed Creek - 500 m (1640 ft.) south of Kagiano River Inlet at Kagiano Lake, south end of lake from first obstruction to 200 m (656 ft.) out from creek mouth.","Ruisseau sans nom - 500 m (1 640 pi) au sud du bras de la rivière Kagiano, au lac Kagiano, l‘extrémité sud du lac depuis le premier obstacle jusqu‘à 200 m (656 pi) à partir de l‘embouchure du ruisseau.",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035672,7,"Unnamed Creek - at the south end of Kagiano Lake in a bay east of the southernmost narrows, from the first obstruction to fish to 200 m (656 ft.) into Kagiano Lake.","Ruisseau sans nom - à l‘extrémité sud du lac Kagiano, dans une baie à l‘est du passage le plus au sud, depuis le premier obstacle à poisson jusqu‘à 200 m (656 pi) dans le lac Kagiano.",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035345,7,"Unnamed Creek - between Wabikoba Lake (48°47’N., 85°45’W.) and Ellis Lake including Edna Creek upstream to the first obstruction to fish.","Ruisseau sans nom - entre les lacs Wabikoba (48° 47’ N. et 85° 45’ O.) et Ellis, incluant le ruisseau Edna, en amont jusqu‘au premier obstacle à poisson.",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035673,7,"Wabatongushi Lake - Dibben Bay - from a point 1.3 km (0.81 mi.) west to a point 1.2 km (0.75 mi.) southwest of Dibben Creek and Dibben Creek upstream to Dibben Lake, and including the creek and connecting Dibben Creek to the unnamed lake due north of Dibb","Lac Wabatongushi - baie de Dibben - depuis un point à 1,3 km (0,81 mi) à l‘ouest jusqu‘à un point à 1,2 km (0,75 mi) au sud-ouest du ruisseau Dibben, le ruisseau Dibben en amont jusqu‘au lac Dibben, et incluant le ruisseau et l‘embranchement du ruisseau D",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035674,7,"Wabatongushi Lake at Wabatongushi Narrows (48°28’N., 84°14’W.) - Challener Twp.",Lac Wabatonguishi au passage Wabatongushi (48° 28‘ N. et 84° 14‘ O.) - canton de Challener.,Fish sanctuary - closed all year,Réserve de poissons - pêche fermée toute l’année,01/01/2022,12/31/2022
107035675,7,"Wabikoba Creek (48°43’N., 85°47’W.) - first obstruction south into Cedar Lake including north end of Cedar Lake not within Brothers Twp.","Ruisseau Wabikoba (48° 43‘ N. et 85° 47‘ O.) - premier obstacle sud au lac Cedar, incluant l‘extrémité nord du lac Cedar à l‘extérieur du canton de Brothers.",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035346,7,"Wabikoba Creek (48°48’N., 85°44’W.) - from Theresa Lake dam south and extending 200 m (656 ft.) from creek mouth into Wabikoba Lake.",Ruisseau Wabikoba (48° 48‘ N. et 85° 44‘ O.) - depuis le barrage du lac Theresa vers le sud et sur 200 m (656 pi) depuis l‘embouchure du ruisseau jusqu‘au lac Wabikoba.,Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035676,7,"White Lake and White River (48°41’N., 85°36’W.) - the bay of White Lake south of a line from the northeast corner of Regan Pt. east to the eastern shore of White Lake at the road from the Mobert subdivision, and the White River from White Lake upstream 70","Lac et rivière White (48° 41‘ N. et 85° 36‘ O.) - la baie du lac White au sud d‘une ligne partant de l‘angle nord-est de pointe Regan à l‘est de la rive est du lac White au chemin depuis le lottissement Mobert, et la rivière White depuis le lac White en a",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035677,7,"White Lake, Olga Creek, and McGill Creek (unsurveyed territory) (48°52’N., 85°36’W.) - part of Shabotik Bay from a point 300 m (984 ft.) west and southeast to the point 650 m (2133 ft.) east of the mouth of Olga Creek; and Olga Creek upstream from the lak","Lac White, ruisseau Olga et ruisseau McGill (territoire non arpenté) (48° 52‘ N. et 85° 36‘ O.) - partie de la baie Shabotik depuis un point à 300 m (984 pi) à l‘ouest et au sud-est jusqu‘au point à 650 m (2 133 pi) à l‘est de l‘embouchure du ruisseau Olg",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035678,7,"White Lake, Shabotik River, Kwinkwaga River (48°51’N., 85°34’W.) - the part of Shabotik Bay 850 m (2790 ft.) southwest of the mouth of the Shabotik River north to the west tip of the low island along the north shore of Shabotik Bay about 1.05 km (3445 ft.","Lac White, rivières Shabotik et Kwinkwaga (48° 51‘ N. et 85° 34‘ O.) - la partie de la baie de Shabotik à 850 m (2 790 pi) au sud-ouest de l‘embouchure de la rivière Shabotik, en direction nord jusqu‘à l‘extrémité ouest de l‘île basse en suivant la rive n",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035679,7,Whitefish Lake and Shikwamka River - Maness Twp. from 820 m (2690.6 ft.) below Bailey Bridge site to 200 m (656 ft.) above Bailey Bridge site.,"Lac Whitefish et rivière Shikwamka - canton de Maness, depuis 820 m (2 690,6 pi) après le pont Bailey jusqu‘à 200 m (656 pi) en avant du pont Bailey.",Fish sanctuary - no fishing from Mar. 15 - June 15,Réserve de poissons - aucune pêche entre le 15 mars et le 15 juin.,01/01/2022,12/31/2022
107035680,7,"Wylie Lake (49°02’36”N., 86°45’36”W.).",Lac Wylie (49° 02‘ 36” N. et 86° 45‘ 36” W.),Fish sanctuary - closed all year,Réserve de poissons - pêche fermée toute l’année,01/01/2022,12/31/2022
107035681,8,"Alexander Lake (48°17'N., 80°35'W.) - McEvay Twp.","Lac Alexandre (48° 17’ N et 80° 35’ O, canton de McEvay)",Fish sanctuary - closed all year,Réserve de poissons - pêche fermée toute l’année,01/01/2022,12/31/2022
107035682,8,"Anthead Lake (49°58’N., 80°40’W.).",Lac Anthead (49° 58’ N. et 80° 40’ O.),Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035683,8,Bateman Lakes - Tomlinson Twp.,Lac Bateman - canton de Tomlinson,Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035684,8,"Big Club Lake (48°28’N., 80°48’W.) - Bond and MacKlem Twps.",Lac Big Club (48° 28’ N. et 80° 48’ O.) - cantons de Bond et MacKlem,No fishing - closed all year,Réserves (sanctuaires) de poisons,01/01/2022,12/31/2022
107035685,8,"Bill's Lake (50°07'N., 80°36'W.).",Lac de Bill (50° 07’ N. et 80° 36’  O.),Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035686,8,Blanche River - Marquis Twp.,Rivière Blanche - canton de Marquis,Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035687,8,"Borden Lake - Borden Twp., waters east of a line drawn from a point on the south shore at 47°51'23""N., 83°13'25""W. to a point on the north shore at 47°51'55""N., 83°13'32""W.","Lac Borden - canton de Borden, les eaux à l’est d’une ligne tracée à partir d’un point sur la rive sud à 47° 51’ 23” N. et 83° 13’ 25” O. jusqu’à un point sur la rive nord à 47° 51’ 55” N. et 83° 13’ 32” O.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035688,8,"Borden Lake - Cochrane Twp., waters north of a line drawn from a point at the east shore at 47°51'58""N., 83°16'55""W. to a point on the west shore at 47°51'58""N., 83°17'25""W.","Lac Borden - canton de Cochrane, les eaux au nord d’une ligne tracée depuis un point sur la rive est à 47° 51’ 58” N. et 83° 16’ 55” O. jusqu’à un point sur la rive ouest à 47° 51’ 58” N. et 83° 17’ 25” O.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035689,8,"Bounce Lake (49°48’N., 80°42’W.).",Lac Bounce (49° 48’ N. et 80° 42’ O.),Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035690,8,Brayley Lake - Blakelock Twp.,Lac Brayley - canton de Blakelock,Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035691,8,"Burnt Lake (49°42’N., 80°33’W.).",Lac Burnt (49° 42’ N. et 80° 33’ O.),Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035610,8,"Chapleau River (also known as Kebsquasheshing River) – Chapleau Twp., from the centerline of the C.P.R. track upstream for 100 m (328 ft.) and downstream for 300 m (984 ft.).","Rivière Chapleau (aussi connue sous le nom de rivière Kebsquasheshing) - canton de Chapleau, du milieu de la voie ferrée du CFCP en amont sur 100 m (328 pi) et en aval sur 300 m (984 pi).",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035692,8,"Commando Lake (49°04’N., 81°01’W.) - Glackmeyer Twp.",Lac Commando - (49° 04’ N. et 81° 01’ O.) - canton de Glackmeyer,Fish sanctuary - no fishing from Jan. 1 - Sat. before 2nd Sun. in Feb. & Sept. 16 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le samedi avant le 2e dim. de févr., ni du 16 sept. au 31 déc.",01/01/2022,12/31/2022
107035686,8,"Crooked Creek System - Marquis, Blain, and Eby Twps.","Réseau du ruisseau Crooked - cantons de Marquis, Blain et Eby",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035693,8,"Deluxe Lake (49°52’N., 80°45’W.).",Lac Deluxe (49° 52’ N. et 80° 45’ O.),Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035694,8,"Departure Lake and Poplar Rapids River in Haggart Twp. lying south of a line from a point on the west shore of Departure Lake at 49°13’22""N., 81°48’22""W. and the peninsula on the east shore at 49°13’44""N., 81°48’11""W. and the inflow of the Poplar Rapids R",Lac Departure et rapides de la rivière Poplar Rapids dans le canton de Haggart qui s’étendent au sud d’une ligne depuis un point sur la rive ouest du lac Departure à 49° 13’ 22” N. et 81° 48’ 22” O. et la péninsule sur la rive est à 49° 13’ 44” N. et 81° ,Fish sanctuary - no fishing from Apr. 1 - June 30,Réserve de poissons - aucune pêche entre le 1er avril et le 30 juin.,01/01/2022,12/31/2022
107035695,8,"Duckbreast and Groves Lakes - beginning at the narrowing of the south end of Duckbreast Lake (47°40’N., 81°38’W.), continuing in a southerly direction through the creek and extending 100 m (328 ft.) into the north end of Groves Lake (47°38’N., 81°36’W.), ","Lacs Duckbreast et Groves - commençant là où l’extrémité sud du lac Duckbreast devient plus étroite (47° 40’ N. et 81° 38’ O.), continuant en direction du sud et passant par le ruisseau pour s’étendre sur 100 m (328 pi) dans l’extrémité nord du lac Groves",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035696,8,"Echo Lake (50°00'N., 80°36'W.).",Lac Echo (50° 00’ N. et 80° 36’  O.),Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035697,8,"Edgar Lake (50°22'N., 80°23'W.).",Lac Edgar (50° 22’  N. et 80° 23’ O.),Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035698,8,"Esker Lake (49°50’N., 80°45’W.).",Lac Esker (49° 50’ N. et 80° 45’ O.),Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035699,8,Firth Creek (Spawning Creek) - Milner Twp.,Ruisseau Firth (ruisseau Spawning) - canton de Milner,Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035700,8,Floodwood Lake - Tweed and Blakelock Twps.,Lac Floodwood - cantons de Tweed et Blakelock,Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035701,8,"Floodwood River - McQuibban Twp., the part of the river within McQuibban Twp.",Rivière Floodwood - canton de McQuibban - la partie de la rivière à l’intérieur du canton de McQuibban.,Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035702,8,"French Lake (49°39’N., 80°30’W.).",Lac French (49° 39’ N. et 80° 30’ O.),Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035703,8,"Groundhog River - Keith Twp., between the base of the Horwood Dam downstream to where it enters Groundhog Lake.","Rivière Groundhog - canton de Keith, depuis la base du barrage Horwood, en aval jusqu’à l’endroit où elle se jette dans le lac Groundhog.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035704,8,Groundhog River (The Pot) - Beardmore and Tucker Twps.,Rivière Groundhog (The Pot) - cantons de Beardmore et Tucker,Fish sanctuary - no fishing from Apr. 15 - July 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin.,01/01/2022,12/31/2022
107035705,8,"Hill’s Lake (49°53’N., 80°34’W.) - Cochrane District.",Lac Hill’s (49° 53’ N. et 80° 34’ O.) - district de Cochrane,Fish sanctuary - no fishing from Jan. 1 - Fri. before 3rd Sat. in May & Nov. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de mai, ni du 1er nov. au 31 déc.",01/01/2022,12/31/2022
107035706,8,"Horwood Lake - Dale Twp., from a point on the Woman River 1km (3281 ft.) upstream from its confluence with the Rush River, downstream to Horwood Lake and all waters of Horwood Lake within Dale Twp.","Lac Horwood - canton de Dale, depuis un point sur la rivière Woman 1 km (3 281 pi) en amont depuis sa confluence avec la rivière Rush, en aval jusqu’au lac Horwood et toutes les eaux du lac Horwood qui sont dans le canton de Dale.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035707,8,"Horwood Lake - Horwood and Keith Twps., Cornice Creek downstream from the Keith Twp. Boundary to Horwood Lake including all waters of Horwood Lake within 2 km (1.24 mi.) of the Cornice Creek mouth.","Lac Horwood - cantons de Horwood et Keith, ruisseau Cornice en aval depuis la limite du canton de Keith jusqu’au lac Horwood et incluant toutes les eaux du lac Horwood à l’intérieur de 2 km (1,24 mi) de l’embouchure du ruisseau Cornice.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035708,8,"Horwood Lake - Horwood Twp., from the outflow of Great Pike Lake downstream to Horwood Lake and including all waters of Horwood Lake within 300 m (984 ft.) of the creek mouth.","Lac Horwood - canton de Horwood, depuis le débit sortant du lac Great Pike en aval jusqu’au lac Horwood et incluant toutes les eaux du lac Horwood à 300 m (984 pi) de l’embouchure du ruisseau.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035709,8,"Horwood Lake - Horwood Twp., Marl Creek downstream from the Horwood Twp. Boundary to Horwood Lake and including all waters of Horwood Lake within 1.8 km (1.1 mi.) of the Marl Creek mouth.","Lac Horwood - canton de Horwood, ruisseau Marl en aval depuis la limite du canton de Horwood jusqu’au lac Horwood et incluant toutes les eaux du lac Horwood à l’intérieur de 1,8 km (1,1 mi) de l’embouchure du ruisseau Marl.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035710,8,"Horwood Lake - Horwood Twp., Swayze River downstream from the Horwood Twp. Boundary to Horwood Lake and including all waters of Horwood Lake within 800 m (2625 ft.) of the Swayze River mouth.","Lac Horwood - canton de Horwood, rivière Swayze en aval depuis la limite du canton de Horwood jusqu’au lac Horwood et incluant toutes les eaux du lac Horwood à l’intérieur de 800 m (2 625 pi) de l’embouchure de la rivière Swayze.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035711,8,"Horwood Lake - Keith Twp., the portion known as Hoodoo Lake or Hoodoo Bay.","Lac Horwood - canton de Keith, la partie connue comme le lac Hoodoo ou la baie Hoodoo.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035712,8,Kapakita Creek - Maisonville Twp.,Ruisseau Kapakita - canton de Maisonville,Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
